"","Character","Occupation","Category"
"1453","Larry Blackmon","lead singer and founder frontman of the funk and R&B band, Cameo","Musical Entertainer"
"1454","Larry Caputo","best known as husband of American TV personality Theresa Caputo","other"
"1455","Larry David","American comedian, writer, actor, playwright, and television producer","Acting Entertainer"
"1456","Larry Flynt","American publisher and the president of Larry Flynt Publications (LFP)","Writer"
"1457","Larry King","American television and radio host, whose work has been recognized with awards including two Peabodys and 10 Cable ACE Awards","News Entertainer"
"1458","Larry Seidlin","State Court judge, best known as presiding judge during the infamous Anna Nicole Smith body custody hearing after her death","Law Professional"
"1459","Larry Speakes","acting press spokesman for the White House under President Ronald Reagan, having held the position from 1981 to 1987","U.S. Politician"
"1460","Larry The Cable Guy","American stand-up comedian, actor, voice artist, country music artist and former radio personality","Acting Entertainer"
"1461","LaToya Jackson","American singer, songwriter, actress, activist and former model","Musical / Acting Entertainer"
"1462","Laura Linney","American actress","Acting Entertainer"
"1463","LaWanda Page","American actress and comedian best known for her role as Aunt Esther in the popular 1970s television sitcom Sanford and Son","Acting Entertainer"
"1464","Lawrence Grossman","Former president of NBC News","News Entertainer"
"1465","Lawrence Thompson","reality TV star on Bravo's ""Pregnant in Heels""","Reality TV Star"
"1466","Lawrence Welk","American musician, accordionist, bandleader, and television impresario, who hosted the television program The Lawrence Welk Show from 1951 to 1982","Musical Entertainer"
"1467","Lazaro Gonzalez","extended family of Elian Gonzalez","other"
"1468","Lea Michele","American actress, singer, and author","Musical / Acting Entertainer"
"1469","Leah Remini","American actress, producer, author, and comedian","Acting Entertainer"
"1470","Lee Iacocca","American automobile executive best known for spearheading the development of Ford Mustang and Pinto cars","Business Leader"
"1471","Lena Dunham","American actress, writer, producer, and director","Acting Entertainer"
"1472","Lena Horne","African American jazz and pop music singer, dancer, actress, and civil rights activist","Musical / Acting Entertainer"
"1473","Lenny Kravitz","American singer, songwriter, record producer, and actor","Musical / Acting Entertainer"
"1474","Leo Terrell","American civil rights attorney and talk radio host based in LA, California","News Entertainer"
"1475","Leon Jenkins","former defensive back in the NFL","Athlete"
"1476","Leon Panetta","American statesman, lawyer, and professor","Law Professional"
"1477","Leon Redbone","Canadian-American singer-songwriter and guitarist specializing in jazz, blues, and Tin Pan Alley classics","Musical Entertainer"
"1478","Leon Spinks","American former professional boxer who competed from 1977 to 1995","Athlete"
"1479","Leona Helmsley","American businesswoman with reputation as ""Queen of Mean"" convicted of tax evasion in 1989","Business Leader"
"1480","Leonard Nimoy","American actor, film director, photographer, author, singer and songwriter","Musical / Acting Entertainer"
"1481","Leonid Brezhnev","General Secretary of the Central Committee (CC) of the Communist Party of the Soviet Union (CPSU), presiding over the country from 1964 until his death in 1982","Non-U.S. Politician"
"1482","Leopoldo Galtieri","Argentine general and President of Argentina from 22 December 1981 to 18 June 1982, during the last military dictatorship (known officially as the National Reorganization Process)","Non-U.S. Politician"
"1483","LeRoy Neiman","American artist known for his brilliantly colored, expressionist paintings and screen prints of athletes, musicians, and sporting events","other"
"1484","Lesley Gore","American singer, songwriter, actress, and activist","Musical / Acting Entertainer"
"1485","Leslie Abramson","American criminal defense attorney best known for her role in the legal defense of Erik Menendez","Law Professional"
"1486","Leslie Uggams","American actress and singer","Musical / Acting Entertainer"
"1487","Lester Holt","American journalist who anchors the weekday edition of NBC Nightly News","News Entertainer"
"1488","Liam Gallagher","English musician, singer, and songwriter","Musical Entertainer"
"1489","Liam Hemsworth","Australian actor","Acting Entertainer"
"1490","Liam Neeson","actor from Northern Ireland","Acting Entertainer"
"1491","Liberace","American pianist, singer, and actor","Musical / Acting Entertainer"
"1492","Lil Jon","American record producer, rapper, songwriter, entrepreneur, DJ and actor from Atlanta, Georgia","Musical Entertainer"
"1493","Lil Wayne","American hip hop recording artist and author from New Orleans, Louisiana","Musical Entertainer"
"1494","Lil' Kim","American rapper, songwriter, record producer, model, and actress","Musical / Acting Entertainer"
"1495","Lillian Carter","mother of former President of the United States, Jimmy Carter","U.S. Political Family"
"1496","Lin-Manuel Miranda","American actor, playwright, composer, rapper, and writer, best known for creating and starring in the Broadway musicals Hamilton and In the Heights","Musical / Acting Entertainer"
"1497","Lina Wertmuller","Italian screenwriter and film director","Acting Entertainer"
"1498","Lincoln Chafee","American politician from Rhode Island","U.S. Politician"
"1499","Linda Blair","American actress","Acting Entertainer"
"1500","Linda Dano","American actress, author and businesswoman","Acting Entertainer"
"1501","Linda Ellerbee","American journalist who is most known for several jobs at NBC News, including Washington, D.C. correspondent, and also as host of the Nickelodeon network's Nick News with Linda Ellerbee","News Entertainer"
"1502","Linda Evans","American actress known primarily for her roles on television","Acting Entertainer"
"1503","Linda Grabel","best known for asking a question during the 2004 presidential debate","Non-U.S. Politician"
"1504","Linda Ham","former Constellation Program Transition Manager at NASA","other"
"1505","Linda McCartney","American musician, photographer, animal rights activist, entrepreneur and publisher who was married to Paul McCartney of the Beatles","Musical Entertainer"
"1506","Linda Ronstadt","American popular music singer","Musical Entertainer"
"1507","Linda Tripp","former U.S. civil servant who figured in the Monica Lewinsky scandal of 1995-1996","other"
"1508","Linda Vester","American television news host","News Entertainer"
"1509","Lindsay Lohan","American actress and singer","Musical / Acting Entertainer"
"1510","Lindsey Buckingham","American musician, singer, songwriter, and producer, best known as lead guitarist and one of the vocalists of the musical group Fleetwood Mac","Musical / Acting Entertainer"
"1511","Lindsey Graham","American politician and member of the Republican Party who has served as a United States Senator from South Carolina since 2003 and the senior Senator from South Carolina since 2005","U.S. Politician"
"1512","Lionel Richie","American singer, songwriter, actor and record producer","Musical / Acting Entertainer"
"1513","Lisa Kudrow","American actress, comedian, writer and producer","Acting Entertainer"
"1514","Lisa Ling","American journalist, television presenter, and author","News Entertainer"
"1515","Lisa Marie Presley","American singer, songwriter and actress","Musical / Acting Entertainer"
"1516","Little Richard","American musician, singer and songwriter","Musical Entertainer"
"1517","Liz Smith","American gossip columnist known as ""The Grand Dame of Dish""","News Entertainer"
"1518","Liza Minnelli","American actress and singer","Musical / Acting Entertainer"
